INFO  - 2016-06-09 15:23:09.988; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2016-06-09 15:23:09.998; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-09 15:23:10.008; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-09 15:23:10.008; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2016-06-09 15:23:10.018; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@45ba82e3 main
INFO  - 2016-06-09 15:23:10.038; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2016-06-09 15:23:10.038; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2016-06-09 15:23:10.038; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-06-09 15:23:10.038; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-06-09 15:23:10.048; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-06-09 15:23:10.048; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example\solr\collection1\conf\elevate.xml
INFO  - 2016-06-09 15:23:10.108; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-06-09 15:23:10.108; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@45ba82e3 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2016-06-09 15:23:10.108; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-06-09 15:23:10.108; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example
INFO  - 2016-06-09 15:23:10.108; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2016-06-09 15:23:10.148; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=40 
INFO  - 2016-06-09 15:23:10.148; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2016-06-09 15:23:10.148; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2016-06-09 15:23:10.158; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2016-06-09 15:23:10.158; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2016-06-09 15:23:10.158; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@45ba82e3 main{StandardDirectoryReader(segments_1:1)}
INFO  - 2016-06-09 15:53:49.188; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2016-06-09 15:53:49.231; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/C:/Users/BaezGMa/Downloads/solr-4.4.0%20(1)/solr-4.4.0/example/solr-webapp/webapp/},C:\Users\BaezGMa\Downloads\solr-4.4.0 (1)\solr-4.4.0\example/webapps/solr.war
INFO  - 2016-06-09 15:53:50.256; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=504858437
INFO  - 2016-06-09 15:53:50.262; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@62f42e49
